25/09/2023 13:23:39 P0 mainscreen P1 player2 P2 player0 Mistake
25/09/2023 13:23:40 P0 mainscreen P1 mainscreen P2 mainscreen Mistake
25/09/2023 13:23:41 P0 mainscreen P1 mainscreen P2 mainscreen Mistake
25/09/2023 13:23:42 P0 mainscreen P1 mainscreen P2 mainscreen Mistake
25/09/2023 13:23:43 P0 mainscreen P1 mainscreen P2 tablet Mistake
25/09/2023 13:23:44 P0 mainscreen P1 mainscreen P2 tablet Mistake
25/09/2023 13:23:45 P0 mainscreen P1 mainscreen P2 tablet Mistake
25/09/2023 13:23:46 P0 mainscreen P1 player0 P2 mainscreen Waiting
25/09/2023 13:23:47 P0 mainscreen P1 player2 P2 mainscreen Syncing
25/09/2023 13:23:48 P0 mainscreen P1 player2 P2 mainscreen Syncing
25/09/2023 13:23:49 P0 mainscreen P1 player2 P2 mainscreen Syncing
25/09/2023 13:23:50 P0 mainscreen P1 mainscreen P2 mainscreen Syncing
25/09/2023 13:23:51 P0 mainscreen P1 mainscreen P2 tablet Syncing
25/09/2023 13:23:52 P0 mainscreen P1 mainscreen P2 tablet Syncing
25/09/2023 13:23:53 P0 mainscreen P1 player0 P2 tablet Syncing
25/09/2023 13:23:54 P0 mainscreen P1 player0 P2 mainscreen Waiting
25/09/2023 13:23:55 P0 player1 P1 player0 P2 mainscreen Waiting
25/09/2023 13:23:56 P0 mainscreen P1 player2 P2 mainscreen Waiting
25/09/2023 13:23:57 P0 mainscreen P1 player2 P2 mainscreen Waiting
25/09/2023 13:23:58 P0 mainscreen P1 mainscreen P2 mainscreen Waiting
25/09/2023 13:23:59 P0 mainscreen P1 mainscreen P2 mainscreen Waiting
25/09/2023 13:24:00 P0 mainscreen P1 mainscreen P2 mainscreen Waiting
25/09/2023 13:24:01 P0 mainscreen P1 player2 P2 tablet Game
25/09/2023 13:24:02 P0 mainscreen P1 mainscreen P2 tablet Game
25/09/2023 13:24:03 P0 mainscreen P1 player2 P2 tablet Game
25/09/2023 13:24:04 P0 mainscreen P1 player2 P2 mainscreen Game
25/09/2023 13:24:05 P0 mainscreen P1 player0 P2 mainscreen Wait
25/09/2023 13:24:06 P0 mainscreen P1 player0 P2 mainscreen Game
25/09/2023 13:24:07 P0 mainscreen P1 player2 P2 mainscreen Game
25/09/2023 13:24:08 P0 mainscreen P1 player2 P2 mainscreen Game
25/09/2023 13:24:09 P0 mainscreen P1 mainscreen P2 mainscreen Game
25/09/2023 13:24:10 P0 mainscreen P1 mainscreen P2 mainscreen Game
25/09/2023 13:24:11 P0 mainscreen P1 mainscreen P2 mainscreen Game
25/09/2023 13:24:12 P0 mainscreen P1 mainscreen P2 mainscreen Game
25/09/2023 13:24:13 P0 mainscreen P1 mainscreen P2 player0 Mistake
25/09/2023 13:24:14 P0 mainscreen P1 mainscreen P2 player0 Mistake
25/09/2023 13:24:15 P0 mainscreen P1 mainscreen P2 player1 Mistake
25/09/2023 13:24:16 P0 mainscreen P1 mainscreen P2 mainscreen Mistake
25/09/2023 13:24:17 P0 mainscreen P1 mainscreen P2 mainscreen Mistake
25/09/2023 13:24:18 P0 mainscreen P1 mainscreen P2 mainscreen Mistake
25/09/2023 13:24:19 P0 player1 P1 mainscreen P2 tablet Mistake
25/09/2023 13:24:20 P0 player1 P1 player0 P2 tablet Mistake
